url,credibility,description
realclimatescience.com,low,conspiracy
redpillpodcasts.com,low,conspiracy
returntonow.net,low,conspiracy
santeplusmag.com,low,conspiracy
science.news,low,conspiracy
sciencevibe.co,low,conspiracy
skeptiko.com,low,conspiracy
snopes.news,low,conspiracy
space.news,low,conspiracy
stillnessinthestorm.com,low,conspiracy
supplementreference.com,low,conspiracy
swprs.org,low,conspiracy
talknetwork.com,low,conspiracy
technocracy.news,low,conspiracy
theantimedia.com,low,conspiracy
theexpose.uk,low,conspiracy
eutimes.net,low,conspiracy
thefullertoninformer.com,low,conspiracy
greanvillepost.com,low,conspiracy
healthranger.com,low,conspiracy
thehealthyamerican.org,low,conspiracy
thehighwire.com,low,conspiracy
thelibertybeacon.com,low,conspiracy
themindunleashed.com,low,conspiracy
thepuristonline.com,low,conspiracy
therundownlive.com,low,conspiracy
thetruthaboutcancer.com,low,conspiracy
vermontindependent.net,low,conspiracy
wakingtimes.co,low,conspiracy
thinkinghumanity.com,low,conspiracy
thoughtcatalog.com,low,conspiracy
thriveglobal.com,low,conspiracy
treason.news,low,conspiracy
trialsitenews.com,low,conspiracy
truepundit.com,low,conspiracy
vaccineimpact.com,low,conspiracy
vrevealed.com,low,conspiracy
vaccinesafety.info,low,conspiracy
vactruth.com,low,conspiracy
veteranstoday.com,low,conspiracy
vigilantcitizen.com,low,conspiracy
votefraud.news,low,conspiracy
wearechange.org,low,conspiracy
westonaprice.org,low,conspiracy
whatreallyhappened.com,low,conspiracy
whitehouse.news,low,conspiracy
wikispooks.com,low,conspiracy
worldaffairsbrief.co,low,conspiracy
worlddoctorsalliance.com,low,conspiracy
worldhealth.net,low,conspiracy
worldlifestyle.com,low,conspiracy
zerohedge.com,low,conspiracy
secondamendmentdaily.com,low,fake_news
100percentfedup.com,low,fake_news
12minutos.com,low,fake_news
24jours.com,low,fake_news
us24news.co,low,fake_news
2020conservative.com,low,fake_news
acting-man.com,low,fake_news
actionnews3.co,low,fake_news
elizabethjohnston.org,low,fake_news
adareporter.com,low,fake_news
adamscountytimes.com,low,fake_news
albanystandard.com,low,fake_news
albawaba.com,low,fake_news
allnewspipeline.com,low,fake_news
english.almanar.com.lb/abou,low,fake_news
alphanews.org,low,fake_news
americadaily.com,low,fake_news
americanactionnews.com,low,fake_news
americanconservativemedia.com,low,fake_news
afa.net,low,fake_news
afn.net,low,fake_news
americasfreedomfighters.co,low,fake_news
americangulag.org,low,fake_news
americanlibertyemail.com,low,fake_news
americanpatriotdaily.com,low,fake_news
americanpeopledaily.com,low,fake_news
amren.co,low,fake_news
tfp.org,low,fake_news
americanthinker.co,low,fake_news
americantruthtoday.com,low,fake_news
awm.co,low,fake_news
americansarepissed.com,low,fake_news
americansfortruth.co,low,fake_news
americasnewssource.com,low,fake_news
amestoday.com,low,fake_news
analyzingamerica.org,low,fake_news
andersonreporter.com,low,fake_news
antelopevalleytoday.com,low,fake_news
arabnews.com,low,fake_news
archaeology-world.com,low,fake_news
aapsonline.org,low,fake_news
athensreporter.com,low,fake_news
atlstandard.com,low,fake_news
auburntimes.com,low,fake_news
backroombuzz.com,low,fake_news
baldwintimes.com,low,fake_news
barenakedislam.com,low,fake_news
basnews.com,low,fake_news
bdnews24.com,low,fake_news
beachbroadcastnews.com,low,fake_news
beckernews.com,low,fake_news
bentontimes.com,low,fake_news
bestdailynews.info,low,fake_news
bigislandtimes.com,low,fake_news
bigleaguepolitics.com,low,fake_news
billionbibles.or,low,fake_news
bipartisanreport.co,low,fake_news
bitchute.com,low,fake_news
blackeyepolitics.com,low,fake_news
blacknews.com,low,fake_news
bloomingtonleader.com,low,fake_news
bluegrasstimes.com,low,fake_news
bluedotdaily.co,low,fake_news
boisecitywire.com,low,fake_news
bongino.co,low,fake_news
bowlinggreentoday.com,low,fake_news
bossip.com,low,fake_news
breakingchristiannews.com,low,fake_news
breakingfirst.com,low,fake_news
breakingnews247.net,low,fake_news
breakingnewshouse.com,low,fake_news
breakingwide.com,low,fake_news
breitbart.com,low,fake_news
brevardsun.com,low,fake_news
bridgeporttimes.com,low,fake_news
britainfirst.org,low,fake_news
c19aspirin.com,low,fake_news
c19ly.com,low,fake_news
caixinglobal.com,low,fake_news
caldronpool.com,low,fake_news
cap-news.com,low,fake_news
carbondalereporter.com,low,fake_news
english.cctv.com,low,fake_news
cdareporter.com,low,fake_news
cedarrapidstoday.com,low,fake_news
centennialstatenews.com,low,fake_news
centerforsecuritypolicy.org,low,fake_news
centralbrowardnews.com,low,fake_news
centralcoloradonews.com,low,fake_news
centralgeorgianews.com,low,fake_news
centralidahotimes.com,low,fake_news
centraliowatimes.com,low,fake_news
centraloctimes.com,low,fake_news
chambanasun.com,low,fake_news
checkpointasia.ne,low,fake_news
chicagocitywire.com,low,fake_news
chicotimes.com,low,fake_news
cgtn.com,low,fake_news
christianaction.org,low,fake_news
citizensjournal.us,low,fake_news
claycotimes.com,low,fake_news
cloverchronicle.co,low,fake_news
cnsnews.com,low,fake_news
coachellatoday.com,low,fake_news
coastalganews.com,low,fake_news
cobbreporter.com,low,fake_news
coconinonews.com,low,fake_news
columbusstandard.com,low,fake_news
concernedwomen.org/blog,low,fake_news
conservapedia.co,low,fake_news
conservativeammo.com,low,fake_news
conservativebeaver.com,low,fake_news
conservativedailynews.com,low,fake_news
conservativefreepress.com,low,fake_news
conservativematrix.com,low,fake_news
conservativeplaylist.com,low,fake_news
facebook.com/conservativepoliticstoday,low,fake_news
conservativepost.co,low,fake_news
conservativetoday.org,low,fake_news
constative.com,low,fake_news
constitutionstatenews.com,low,fake_news
corona-transition.org,low,fake_news
councilforthenationalinterest.org,low,fake_news
c19early.com,low,fake_news
cowgernation.com,low,fake_news
dagospia.com,low,fake_news
dailymail.co.u,low,fake_news
dailystar.co.u,low,fake_news
dailystormer.su,low,fake_news
dailysurge.com,low,fake_news
davidharrisjr.com,low,fake_news
dcbluedot.co,low,fake_news
dcgazette.com,low,fake_news
decaturtimes.com,low,fake_news
defconnews.com,low,fake_news
defendingtherepublic.org,low,fake_news
defiantamerica.com,low,fake_news
dekalbganews.com,low,fake_news
dekalbtimes.com,low,fake_news
democrats.org,low,fake_news
denvercitywire.com,low,fake_news
deplorablekel.co,low,fake_news
desmoinessun.com,low,fake_news
discoverthenetworks.org,low,fake_news
djhjmedia.com,low,fake_news
dnyuz.com,low,fake_news
dubuquetimes.com,low,fake_news
dupagepolicyjournal.com,low,fake_news
duvaltimes.com,low,fake_news
eastalamedanews.com,low,fake_news
eastarapahoenews.com,low,fake_news
eastarizonanews.com,low,fake_news
ecalabamanews.com,low,fake_news
eastcentralreporter.com,low,fake_news
eastcontracostanews.com,low,fake_news
easthillsboroughnews.com,low,fake_news
eastidahotimes.com,low,fake_news
eastindynews.com,low,fake_news
eciowanews.com,low,fake_news
eastkentuckytimes.com,low,fake_news
eastlittlerocktimes.com,low,fake_news
eastlouisvillenews.com,low,fake_news
eastpanhandlenews.com,low,fake_news
eastpennyroyalnews.com,low,fake_news
eastsandiegonews.com,low,fake_news
eastsbvtimes.com,low,fake_news
eastsfvtoday.com,low,fake_news
eastsierranews.com,low,fake_news
eastventuranews.com,low,fake_news
eastvolusianews.com,low,fake_news
eastwichitatimes.com,low,fake_news
echocheck.org,low,fake_news
ecindiananews.com,low,fake_news
eckansasnews.com,low,fake_news
elizabethtowntimes.com,low,fake_news
emeraldcoasttimes.com,low,fake_news
emirates247.com,low,fake_news
en-volve.com,low,fake_news
endthefed.org,low,fake_news
europe-israel.org,low,fake_news
everytownresearch.or,low,fake_news
evil.news,low,fake_news
abcbusinessnews.co,low,fake_news
explainlife.co,low,fake_news
frc.org,low,fake_news
fashthenation.com,low,fake_news
fayettevillestandard.com,low,fake_news
femalista.com,low,fake_news
firstinfreedomdaily.com,low,fake_news
firststatetimes.com,low,fake_news
fl24.net,low,fake_news
flagandcross.com,low,fake_news
focusonthefamily.com,low,fake_news
foreignpolicyi.org,low,fake_news
fortherightnews.com,low,fake_news
fortsmithtimes.com,low,fake_news
fr24news.com,low,fake_news
frankspeech.com,low,fake_news
freedomfirstnetwork.com,low,fake_news
freedomproject.com,low,fake_news
free-speechfront.info,low,fake_news
freewestmedia.com,low,fake_news
fresnoleader.com,low,fake_news
friatider.se,low,fake_news
frontpagemag.com,low,fake_news
ftwaynetimes.com,low,fake_news
gadsdentoday.com,low,fake_news
galesburgreporter.com,low,fake_news
gatestoneinstitute.org,low,fake_news
gellerreport.com,low,fake_news
gemstatewire.com,low,fake_news
genzconservative.com,low,fake_news
georgiamountainnews.com,low,fake_news
gettr.com,low,fake_news
ghost.report,low,fake_news
gnews.org,low,fake_news
goldcountrytoday.com,low,fake_news
goldenstatetoday.com,low,fake_news
gopdailybrief.com,low,fake_news
gop.go,low,fake_news
grainoftruth.ca,low,fake_news
grandcanyontimes.com,low,fake_news
grandjunctiontimes.com,low,fake_news
en.granma.cu,low,fake_news
greatamericandaily.com,low,fake_news
greatamericanrepublic.co,low,fake_news
greatreject.org,low,fake_news
grundyreporter.com,low,fake_news
grunge.com,low,fake_news
gucmakale.com,low,fake_news
gulfnews.com,low,fake_news
hagmannreport.com,low,fake_news
halturnerradioshow.com,low,fake_news
hangthebankers.com,low,fake_news
hannity.com,low,fake_news
hartfordreporter.com,low,fake_news
en.hawarnews.org,low,fake_news
hawkeyereporter.com,low,fake_news
headlineusa.com,low,fake_news
headtopics.com/us/,low,fake_news
hereistheevidence.com,low,fake_news
hernandoreporter.com,low,fake_news
honolulureporter.com,low,fake_news
hoodsite.com,low,fake_news
hoosierstatetoday.com,low,fake_news
hopkinsvilletimes.com,low,fake_news
hotspringstimes.com,low,fake_news
housatonicvalleynews.com,low,fake_news
huntsvilleleader.com,low,fake_news
hutchtoday.com,low,fake_news
iharare.com,low,fake_news
ilovemyfreedom.org,low,fake_news
illegalaliencrimereport.co,low,fake_news
illicitinfo.co,low,fake_news
illinoisvalleytimes.com,low,fake_news
imperialcanews.com,low,fake_news
independentsentinel.co,low,fake_news
indystandard.com,low,fake_news
innerstrength.zone,low,fake_news
interioralaskanews.com,low,fake_news
iowacitytoday.com,low,fake_news
ipatriot.com,low,fake_news
ivmmeta.com,low,fake_news
jeffersonreporter.com,low,fake_news
jocotoday.com,low,fake_news
jonesborotimes.com,low,fake_news
judicialwatch.or,low,fake_news
justthenews.com,low,fake_news
kanecountyreporter.com,low,fake_news
kankakeetimes.com,low,fake_news
kauaisun.com,low,fake_news
kendallcountytimes.com,low,fake_news
kentcountytoday.com,low,fake_news
kentuckianatimes.com,low,fake_news
kerncountytimes.com,low,fake_news
keywestreporter.com,low,fake_news
kingscountytimes.com,low,fake_news
knightstemplarorder.com,low,fake_news
kokomostandard.com,low,fake_news
ladbible.com,low,fake_news
lafayettetimes.com,low,fake_news
laharbornews.com,low,fake_news
lakecountygazette.com,low,fake_news
laketahoesun.com,low,fake_news
lancastercourier.com,low,fake_news
larimernews.com,low,fake_news
lastfrontiernews.com,low,fake_news
lawrencereporter.com,low,fake_news
laxleader.com,low,fake_news
leftaction.com,low,fake_news
libertybell.com,low,fake_news
libertytalk.fm,low,fake_news
libertynews.com,low,fake_news
lifenews.com,low,fake_news
lindelltv.com,low,fake_news
litchfieldhillstoday.com,low,fake_news
littleappletimes.com,low,fake_news
louderwithcrowder.co,low,fake_news
lowedeltanews.com,low,fake_news
lucianne.com,low,fake_news
maconreporter.com,low,fake_news
macontimes.com,low,fake_news
madworldnews.com,low,fake_news
magicvalleytimes.com,low,fake_news
mainstreamfakemedia.com,low,fake_news
manateereview.com,low,fake_news
marinleader.com,low,fake_news
matsutimes.com,low,fake_news
mauireporter.com,low,fake_news
mchenrytimes.com,low,fake_news
mcleancountytimes.com,low,fake_news
mercedtimes.com,low,fake_news
en.mercopress.com,low,fake_news
en.metapedia.org/wiki/Main_Pag,low,fake_news
metricmedianews.com,low,fake_news
metroeastsun.com,low,fake_news
miamicourant.com,low,fake_news
micdroppolitics.com,low,fake_news
middleamericandemocrat.co,low,fake_news
mixi.media,low,fake_news
mobilecourant.com,low,fake_news
mohavetoday.com,low,fake_news
montereytimes.com,low,fake_news
moonbattery.co,low,fake_news
front.moveon.or,low,fake_news
msmlies.com,low,fake_news
mtonews.com,low,fake_news
munciereporter.com,low,fake_news
nwiowanews.com,low,fake_news
naplesstandard.com,low,fake_news
naturecoasttimes.com,low,fake_news
nationalinsiders.com,low,fake_news
nationalpolicy.institute,low,fake_news
nrlc.org,low,fake_news
naturalstatenews.com,low,fake_news
naugatucktimes.com,low,fake_news
ncfloridanews.com,low,fake_news
ncgeorgianews.com,low,fake_news
nckansasnews.com,low,fake_news
ncindiananews.com,low,fake_news
nealabamanews.com,low,fake_news
neatlantanews.com,low,fake_news
necalinews.com,low,fake_news
necoloradonews.com,low,fake_news
neconnnews.com,low,fake_news
nefloridanews.com,low,fake_news
neindiananews.com,low,fake_news
nekansasnews.com,low,fake_news
nesacramentonews.com,low,fake_news
nevalleytimes.com,low,fake_news
news18.com,low,fake_news
newsblaze.com,low,fake_news
newsbreak.com,low,fake_news
newsheist.com,low,fake_news
newshourfirst.com,low,fake_news
newspushed.com,low,fake_news
newsready.com,low,fake_news
newsrescue.com,low,fake_news
newssloth.com,low,fake_news
newswithviews.com,low,fake_news
newsmax.com,low,fake_news
en.newsner.co,low,fake_news
newsview.gr,low,fake_news
youtube.com/nextnewsnetwor,low,fake_news
noqreport.com,low,fake_news
nordicmonitor.com,low,fake_news
northalaskanews.com,low,fake_news
northbirminghamtimes.com,low,fake_news
northbrowardnews.com,low,fake_news
ncarkansasnews.com,low,fake_news
northcoastcanews.com,low,fake_news
northcooknews.com,low,fake_news
northdsmnews.com,low,fake_news
northegyptnews.com,low,fake_news
northfultontoday.com,low,fake_news
northgwinnettnews.com,low,fake_news
northidahotimes.com,low,fake_news
northindynews.com,low,fake_news
northinlandnews.com,low,fake_news
northiowareporter.com,low,fake_news
northjeffconews.com,low,fake_news
northlaketimes.com,low,fake_news
northlittlerocktimes.com,low,fake_news
northmianews.com,low,fake_news
northoctimes.com,low,fake_news
northpanhandlenews.com,low,fake_news
northpimanews.com,low,fake_news
northsactoday.com,low,fake_news
northnewcastlenews.com,low,fake_news
northsfvtoday.com,low,fake_news
northsgvnews.com,low,fake_news
northwichitanews.com,low,fake_news
notallowedto.com,low,fake_news
npr.news,low,fake_news
nationalrighttolifenews.org,low,fake_news
ntd.co,low,fake_news
nwalabamanews.com,low,fake_news
nwarkansasnews.com,low,fake_news
nwatlantanews.com,low,fake_news
nwconnnews.com,low,fake_news
nwgeorgianews.com,low,fake_news
nwillinoisnews.com,low,fake_news
nwkansasnews.com,low,fake_news
nwlatimes.com,low,fake_news
nwriversidenews.com,low,fake_news
nwvalleytimes.com,low,fake_news
oaklandcitywire.com,low,fake_news
objectivist.co,low,fake_news
ocalastandard.com,low,fake_news
occupydemocrats.co,low,fake_news
okeechobeetimes.com,low,fake_news
orlandostandard.com,low,fake_news
outragedpatriot.com,low,fake_news
pacificpundit.co,low,fake_news
palmcoasttimes.com,low,fake_news
panamacityreporter.com,low,fake_news
parler.com,low,fake_news
patriotfetch.com,low,fake_news
thepatriotjournal.com,low,fake_news
patriotreport.com,low,fake_news
patrioticviralnews.com,low,fake_news
pcmustdie.com,low,fake_news
peachtreetimes.com,low,fake_news
pensacolatimes.com,low,fake_news
peoriastandard.com,low,fake_news
perezhilton.com,low,fake_news
personalinterpretation.com,low,fake_news
personalliberty.com,low,fake_news
phxreporter.com,low,fake_news
pinaltoday.com,low,fake_news
pinellastimes.com,low,fake_news
pocatellotimes.com,low,fake_news
political-discussion.com,low,fake_news
politicalflare.co,low,fake_news
thepoliticalinsider.co,low,fake_news
politicalstate.org,low,fake_news
politicsonline.net,low,fake_news
polktimes.com,low,fake_news
pomonavalleynews.com,low,fake_news
pop.org,low,fake_news
populist.press,low,fake_news
prageru.co,low,fake_news
prairiestatewire.com,low,fake_news
pravdareport.com,low,fake_news
presscalifornia.com,low,fake_news
presscorp.org,low,fake_news
presstv.ir,low,fake_news
prntly.com,low,fake_news
projectveritas.co,low,fake_news
en.protothema.gr,low,fake_news
protrumpnews.com,low,fake_news
pulaskitimes.com,low,fake_news
quillette.co,low,fake_news
quincyreporter.com,low,fake_news
rairfoundation.com,low,fake_news
rationalground.com,low,fake_news
rawconservativeopinions.com,low,fake_news
realconservativesunite.co,low,fake_news
redbluedivide.com,low,fake_news
reddingtoday.com,low,fake_news
redorbit.com,low,fake_news
redvoicemedia.com,low,fake_news
redwoodempirenews.com,low,fake_news
reedcooper.ne,low,fake_news
reformedmedia.net,low,fake_news
republicandaily.net,low,fake_news
gop.com,low,fake_news
resistthemainstream.org,low,fake_news
revolver.news,low,fake_news
righterway.com,low,fake_news
rsbnetwork.com,low,fake_news
rightwingtribune.com,low,fake_news
riverbendtimes.com,low,fake_news
riverregiontimes.com,low,fake_news
rockfordsun.com,low,fake_news
rockislandtoday.com,low,fake_news
roguereview.net,low,fake_news
romereporter.com,low,fake_news
de.rt.com,low,fake_news
rudaw.net/englis,low,fake_news
rumble.com,low,fake_news
ruptly.tv,low,fake_news
rushlimbaugh.com,low,fake_news
russia-insider.com,low,fake_news
tass.com,low,fake_news
sacramentostandard.com,low,fake_news
salemnewswire.com,low,fake_news
sandiegocitywire.com,low,fake_news
sanfransun.com,low,fake_news
sangamonsun.com,low,fake_news
sanjoaquintimes.com,low,fake_news
sanjosestandard.com,low,fake_news
santaclaratoday.com,low,fake_news
santacruzstandard.com,low,fake_news
sanmateosun.com,low,fake_news
smobserved.co,low,fake_news
sarasotareview.com,low,fake_news
savannahstandard.com,low,fake_news
scalaskanews.com,low,fake_news
seatlantanews.com,low,fake_news
sckansasnews.com,low,fake_news
sealaskanews.com,low,fake_news
searizonanews.com,low,fake_news
secureamericanow.org,low,fake_news
secoloradonews.com,low,fake_news
seconnnews.com,low,fake_news
sedenvernews.com,low,fake_news
segeorgianews.com,low,fake_news
seillinoisnews.com,low,fake_news
seindiananews.com,low,fake_news
seiowanews.com,low,fake_news
selatimes.com,low,fake_news
sfvtoday.com,low,fake_news
sgvstandard.com,low,fake_news
shoalstoday.com,low,fake_news
shtfplan.com,low,fake_news
siouxcitytimes.com,low,fake_news
skepticink.com,low,fake_news
sloreporter.com,low,fake_news
sohu.com,low,fake_news
solanosun.com,low,fake_news
southalamedanews.com,low,fake_news
southatlantanews.com,low,fake_news
southbayleader.com,low,fake_news
southbaysdnews.com,low,fake_news
southbendtimes.com,low,fake_news
sonsof1776.com,low,fake_news
southalabamatimes.com,low,fake_news
southbrowardnews.com,low,fake_news
southcentralreporter.com,low,fake_news
southcooknews.com,low,fake_news
silnews.com,low,fake_news
southernindianatoday.com,low,fake_news
southdsmnews.com,low,fake_news
southgeorgiatimes.com,low,fake_news
southgwinnettnews.com,low,fake_news
southindynews.com,low,fake_news
southiowanews.com,low,fake_news
southjeffconews.com,low,fake_news
southlaketoday.com,low,fake_news
southmianews.com,low,fake_news
southnewcastlenews.com,low,fake_news
southorlandonews.com,low,fake_news
southpalmbeachtoday.com,low,fake_news
southpinellastimes.com,low,fake_news
southsactoday.com,low,fake_news
southsfbaynews.com,low,fake_news
southsgvnews.com,low,fake_news
swillinoisnews.com,low,fake_news
southwichitanews.com,low,fake_news
springstimes.com,low,fake_news
fr.sputniknews.com,low,fake_news
snanews.de,low,fake_news
it.sputniknews.com,low,fake_news
stpetestandard.com,low,fake_news
stanislausnews.com,low,fake_news
stateofthenation.co,low,fake_news
stoppingsocialism.com,low,fake_news
southbirminghamtimes.com,low,fake_news
southfultontoday.com,low,fake_news
southoctimes.com,low,fake_news
southpimanews.com,low,fake_news
southsfvtoday.com,low,fake_news
speech-point.com,low,fake_news
stfnreport.com,low,fake_news
strategic-culture.or,low,fake_news
trumpstudents.org,low,fake_news
summit.new,low,fake_news
sunflowerstatenews.com,low,fake_news
sunshinesentinel.com,low,fake_news
supportisraelnow.com,low,fake_news
survivalblog.com,low,fake_news
sussexreview.com,low,fake_news
swampdrain.co,low,fake_news
swalaskanews.com,low,fake_news
swarizonanews.com,low,fake_news
swarkansastimes.com,low,fake_news
swcoloradonews.com,low,fake_news
swconnnews.com,low,fake_news
swindiananews.com,low,fake_news
swiowatimes.com,low,fake_news
swkansasnews.com,low,fake_news
swriversidenews.com,low,fake_news
swvalleytimes.com,low,fake_news
syrianews.cc,low,fake_news
takimag.com,low,fake_news
tallahasseesun.com,low,fake_news
tamparepublic.com,low,fake_news
tbdailynews.com,low,fake_news
techstartups.com,low,fake_news
telesurenglish.net,low,fake_news
africanexponent.co,low,fake_news
thebeardedpatriot.com,low,fake_news
thebeltwayreport.com,low,fake_news
thebl.com,low,fake_news
theblacksphere.net,low,fake_news
theblaze.com,low,fake_news
buffalochronicle.co,low,fake_news
thecoloradoherald.com,low,fake_news
theconservativebrief.co,low,fake_news
theconservativecentral.com,low,fake_news
conservativepapers.com,low,fake_news
thecountersignal.com,low,fake_news
dailyboulder.com,low,fake_news
thedailystar.com,low,fake_news
dailywire.co,low,fake_news
thedcpatriot.com,low,fake_news
thedesertreview.com,low,fake_news
thedonald.win,low,fake_news
theduran.com,low,fake_news
theepochtimes.co,low,fake_news
thefederalist.com,low,fake_news
thefreedomtimes.com,low,fake_news
thefrisky.com,low,fake_news
thegatewaypundit.com,low,fake_news
joerogan.com,low,fake_news
thelapost.com,low,fake_news
lastresistance.com,low,fake_news
thelaughclub.net,low,fake_news
thelibertydaily.com,low,fake_news
thelibertyloft.com,low,fake_news
eng.majalla.com,low,fake_news
thenationalpatriot.com,low,fake_news
thenational.a,low,fake_news
nationalistreview.net,low,fake_news
other98.co,low,fake_news
thepatriotnation.net,low,fake_news
thepoliticalbrief.com,low,fake_news
thepolitics.onlin,low,fake_news
thepostemail.co,low,fake_news
theragingpatriot.org,low,fake_news
rebelnews.com,low,fake_news
theredelephants.com,low,fake_news
rfangle.com,low,fake_news
theregionnews.com,low,fake_news
therightstuff.biz,low,fake_news
thescinewsreporter.co,low,fake_news
sciencetimes.com,low,fake_news
thescoop.us,low,fake_news
thespectator.info,low,fake_news
tehrantimes.com,low,fake_news
thetruedefender.com,low,fake_news
thetruereporter.com,low,fake_news
thetruthvoice.net,low,fake_news
theunionjournal.com,low,fake_news
thewashingtonsentinel.co,low,fake_news
chicagodaily.pr,low,fake_news
toddstarnes.com,low,fake_news
toofab.com,low,fake_news
topekasun.com,low,fake_news
toptopic.clu,low,fake_news
torontotoday.net,low,fake_news
tplnews.co,low,fake_news
treasurecoastsun.com,low,fake_news
treasurevalleytimes.com,low,fake_news
