url,credibility,description
https://www.dnj.com/,high,right-center
https://dcist.com/,high,right-center
https://deadline.com/,high,right-center
https://debunkingdenialism.com,high,right-center
https://www.delawareonline.com/,high,right-center
https://www.delo.si/,high,right-center
https://democracy21.org/,high,right-center
https://www.democratandchronicle.com/,high,right-center
https://www.demos.org/,high,right-center
https://www.denverpost.com/,high,right-center
https://www.westword.com/,high,right-center
https://www.freep.com/,high,right-center
https://www.zeit.de/,high,right-center
https://digg.com/,high,right-center
https://diply.com/,high,right-center
https://www.eastbaytimes.com/,high,right-center
https://econofact.org/,high,right-center
https://www.epi.org,high,right-center
https://www.ejinsight.com/,high,right-center
http://www.eldiario.es,high,right-center
https://eldiariony.com/,high,right-center
https://elpais.com/,high,right-center
https://www.elpasotimes.com/,high,right-center
https://emerging-europe.com/about/,high,right-center
https://ew.com,high,right-center
https://www.espn.com/,high,right-center
https://www.registerguard.com/,high,right-center
https://www.euractiv.com/,high,right-center
https://www.eurasiareview.com/,high,right-center
https://www.euronews.com,high,right-center
https://www.facebook.com/news,high,right-center
https://www.foodnavigator.com/,high,right-center
https://www.francetvinfo.fr/,high,right-center
https://freakonomics.com/,high,right-center
https://www.fresnobee.com/,high,right-center
https://fusion.tv/,high,right-center
https://www.gadsdentimes.com/,high,right-center
https://www.gainesville.com,high,right-center
https://www.glamour.com/,high,right-center
https://globalnews.ca/,high,right-center
https://globalrealnews.com,high,right-center
https://globalriskinsights.com/,high,right-center
https://www.gmanetwork.com/,high,right-center
https://gothamist.com/,high,right-center
https://www.governing.com/,high,right-center
https://whistleblower.org/,high,right-center
https://www.govexec.com/,high,right-center
https://www.greensboro.com/,high,right-center
https://www.grid.news/,high,right-center
https://grist.org/,high,right-center
https://www.gunviolencearchive.org,high,right-center
https://harpers.org,high,right-center
https://heavy.com,high,right-center
https://www.hs.fi/,high,right-center
https://www.helsinkitimes.fi/,high,right-center
https://www.hindustantimes.com/,high,right-center
https://www.hollywoodreporter.com/,high,right-center
https://www.civilbeat.org,high,right-center
https://www.staradvertiser.com/,high,right-center
https://www.hotnews.ro/,high,right-center
https://www.icenews.is/,high,right-center
https://www.idahopress.com/,high,right-center
https://www.infobae.com/,high,right-center
https://www.inquisitr.com/news/,high,right-center
https://www.insideedition.com,high,right-center
https://www.insider.com/,high,right-center
https://www.ibtimes.com/,high,right-center
https://www.icrw.org/,high,right-center
http://www.interpretermag.com/,high,right-center
https://ipolitics.ca/,high,right-center
https://www.israel21c.org/pain-and-hope-fill-hearts-of-israeli-coexistence-activists/,high,right-center
https://www.thenewhumanitarian.org/,high,right-center
https://jalopnik.com/,high,right-center
https://jointcenter.org/,high,right-center
http://www.helvidius.org/,high,right-center
http://daily.jstor.org/,high,right-center
https://khn.org/,high,right-center
https://www.kansascity.com,high,right-center
https://denver.cbslocal.com/,high,right-center
https://www.kenoshanews.com/,high,right-center
https://www.koco.com/,high,right-center
https://sacramento.cbslocal.com/,high,right-center
https://kpic.com/,high,right-center
https://sanfrancisco.cbslocal.com/,high,right-center
https://www.kqed.org/,high,right-center
https://kuow.org/,high,right-center
https://www.kurdistan24.net/,high,right-center
https://kyivindependent.com/,high,right-center
https://www.kyivpost.com/,high,right-center
https://www.laconiadailysun.com/,high,right-center
http://www.ladepeche.fr,high,right-center
https://www.lajuntatribunedemocrat.com/,high,right-center
https://www.repubblica.it/,high,right-center
https://www.lastampa.it/,high,right-center
https://www.latimes.com/,high,right-center
https://lasvegassun.com,high,right-center
https://www.latintimes.com/,high,right-center
https://www.leavenworthtimes.com/,high,right-center
https://www.lemonde.fr/,high,right-center
https://lethbridgeherald.com/,high,right-center
https://www.lamag.com/,high,right-center
https://www.macleans.ca,high,right-center
https://mainichi.jp,high,right-center
https://mb.com.ph,high,right-center
https://www.mediafiledc.com/,high,right-center
https://www.mediapart.fr/,high,right-center
https://www.metro.us/,high,right-center
https://www.nhregister.com/,high,right-center
https://www.miamiherald.com,high,right-center
https://www.middleeasteye.net/,high,right-center
https://www.jsonline.com/,high,right-center
http://www.startribune.com/,high,right-center
https://www.montgomeryadvertiser.com/,high,right-center
https://www.motherjones.com/,high,right-center
https://www.msn.com/,high,right-center
https://www.mycentraljersey.com/,high,right-center
https://www.nationalnewswatch.com/,high,right-center
https://www.nationalobserver.com/,high,right-center
https://resourcegovernance.org/,high,right-center
https://www.nbclosangeles.com/,high,right-center
https://www.nbcnewyork.com,high,right-center
https://www.ncnewsonline.com/,high,right-center
https://www.citynews1130.com/about/,high,right-center
https://www.newscentermaine.com/,high,right-center
https://www.nydailynews.com/,high,right-center
https://www.newsandguts.com/,high,right-center
https://www.newsday.com/,high,right-center
https://www.newser.com/,high,right-center
https://www.newsweek.com/,high,right-center
https://www.newsy.com/,high,right-center
https://www.niagara-gazette.com/,high,right-center
https://www.niemanlab.org/,high,right-center
https://www.norwichbulletin.com/,high,right-center
https://www.novinky.cz/,high,right-center
https://www.npr.org/sections/news/,high,right-center
https://www.ocala.com/,high,right-center
https://occupyindependents.com/,high,right-center
https://www.openthegovernment.org/,high,right-center
https://www.opposingviews.com/,high,right-center
https://www.orlandosentinel.com,high,right-center
https://www.outsidethebeltway.com/,high,right-center
https://www.ozy.com/,high,right-center
https://www.palmbeachdailynews.com/,high,right-center
https://www.newsherald.com/,high,right-center
https://www.pbs.org/newshour/,high,right-center
https://www.inquirer.com/,high,right-center
https://www.phillytrib.com/,high,right-center
https://www.politico.com,high,right-center
http://politicsthatwork.com/,high,right-center
https://www.politifact.com/,high,right-center
https://www.polygon.com/,high,right-center
https://www.pressherald.com/,high,right-center
https://theworld.org/,high,right-center
https://www.private-eye.co.uk/,high,right-center
https://www.pogo.org/,high,right-center
https://www.prospectmagazine.co.uk/,high,right-center
https://www.protocol.com/,high,right-center
https://www.providencejournal.com/,high,right-center
https://www.chieftain.com/,high,right-center
https://qz.com/,high,right-center
https://www.rfa.org/,high,right-center
https://www.radiotelevisionmarti.com/,high,right-center
https://www.newsobserver.com/,high,right-center
https://www.rappler.com/,high,right-center
https://rationalwiki.org/wiki/Main_Page,high,right-center
https://www.rgj.com/,high,right-center
https://www.ridgecrestca.com/,high,right-center
https://militarist-monitor.org/,high,right-center
https://www.rocketnews.com/,high,right-center
https://www.heraldonline.com/,high,right-center
https://rooseveltinstitute.org/,high,right-center
https://www.sacbee.com,high,right-center
https://www.sltrib.com/,high,right-center
https://www.expressnews.com/,high,right-center
https://www.sfchronicle.com/,high,right-center
https://www.mercurynews.com/,high,right-center
https://www.sanluisobispo.com/,high,right-center
https://www.sapiens.org,high,right-center
https://sciencing.com/,high,right-center
https://www.seattlepi.com/,high,right-center
https://www.self.com/,high,right-center
https://www.sfgate.com/,high,right-center
https://www.snopes.com/,high,right-center
https://www.scmp.com,high,right-center
https://www.sbs.com.au/,high,right-center
https://www.spiegel.de/,high,right-center
https://www.spin.com/,high,right-center
https://www.news-leader.com/,high,right-center
https://www.staugustine.com/,high,right-center
https://www.stltoday.com/,high,right-center
https://www.stamfordadvocate.com/,high,right-center
https://www.nj.com/starledger/,high,right-center
https://www.stopfake.org/,high,right-center
https://sunlightfoundation.com/,high,right-center
https://www.syriahr.com/,high,right-center
https://www.tabletmag.com/,high,right-center
https://www.tampabay.com,high,right-center
https://tarbell.org,high,right-center
https://www.taxpolicycenter.org/,high,right-center
https://www.tcpalm.com/,high,right-center
https://www.app.com,high,right-center
https://www.augustachronicle.com/,high,right-center
https://www.belfercenter.org/,high,right-center
https://www.thebipartisanpress.com,high,right-center
https://myrgv.com/,high,right-center
http://cepr.net,high,right-center
https://chinapost.nownews.com/,high,right-center
https://www.chronicle.com/,high,right-center
https://thecity.nyc/,high,right-center
https://www.coloradoan.com/,high,right-center
https://coloradosun.com/,high,right-center
https://www.dailytarheel.com/,high,right-center
https://www.theday.com/,high,right-center
https://www.dominionpost.com/,high,right-center
https://ecfr.eu/,high,right-center
https://forward.com/,high,right-center
https://www.readfrontier.org,high,right-center
https://thefulcrum.us/,high,right-center
https://www.heraldscotland.com/,high,right-center
https://www.theguardian.com,high,right-center
https://www.heraldnet.com/,high,right-center
https://www.thehindu.com/,high,right-center
https://thehumanist.com/,high,right-center
https://www.independent.co.uk/us,high,right-center
https://indianexpress.com/,high,right-center
https://www.irishexaminer.com/whoweare/,high,right-center
https://www.irrawaddy.com/,high,right-center
https://www.thejakartapost.com/,high,right-center
https://www.thejournal.ie/,high,right-center
https://www.lohud.com/,high,right-center
https://www.koreatimes.co.kr/,high,right-center
https://lincolnproject.us/,high,right-center
https://www.thelist.com/,high,right-center
https://www.thelocal.no/,high,right-center
https://www.mauinews.com/,high,right-center
https://www.fool.com/,high,right-center
https://www.thenewstribune.com/,high,right-center
https://www.theolympian.com/,high,right-center
https://www.pennlive.com/,high,right-center
https://www.pressdemocrat.com/,high,right-center
https://punchng.com/about-us/,high,right-center
https://www.northjersey.com/,high,right-center
https://www.statepress.com,high,right-center
https://www.smh.com.au,high,right-center
https://www.theverge.com/,high,right-center
https://www.pilotonline.com/,high,right-center
https://www.theweek.co.uk,high,right-center
https://www.wilderness.org/,high,right-center
https://news.trust.org/,high,right-center
https://www.thrillist.com,high,right-center
https://time.com/,high,right-center
https://www.timescolonist.com/,high,right-center
https://www.nola.com/,high,right-center
https://www.tmz.com/,high,right-center
https://www.today.com/,high,right-center
https://www.tomdispatch.com/,high,right-center
https://www.cjonline.com/,high,right-center
https://www.tuscaloosanews.com/,high,right-center
https://typemediacenter.org/,high,right-center
https://www.ucsusa.org,high,right-center
https://www.uft.org/,high,right-center
https://www.pravda.com.ua/,high,right-center
https://www.urban.org/,high,right-center
https://www.usatoday.com,high,right-center
https://www.usnews.com/,high,right-center
https://www.upr.org/,high,right-center
https://www.uticaod.com,high,right-center
https://variety.com/,high,right-center
https://www.vcstar.com/,high,right-center
https://verafiles.org/,high,right-center
https://www.vibe.com/,high,right-center
https://www.victoriaadvocate.com/,high,right-center
https://www.vvdailypress.com/,high,right-center
https://www.virginiamercury.com,high,right-center
https://www.visaliatimesdelta.com/,high,right-center
https://www.vladtv.com/,high,right-center
https://www.voiceofsandiego.org/,high,right-center
https://www.votevets.org/,high,right-center
https://www.walesonline.co.uk/,high,right-center
https://washingtonmonthly.com,high,right-center
https://chicago.cbslocal.com/,high,right-center
https://minnesota.cbslocal.com/,high,right-center
https://www.westernmassnews.com/,high,right-center
https://miami.cbslocal.com/,high,right-center
https://www.whitehouse.gov,high,right-center
https://www.wishtv.com/,high,right-center
https://atlanta.cbslocal.com/,high,right-center
https://www.wnyc.org/,high,right-center
https://broadenimpact.com/world-policy/,high,right-center
https://www.worldpress.org/,high,right-center
https://www.wri.org/,high,right-center
https://www.nbcwashington.com/,high,right-center
https://wsvn.com,high,right-center
https://tampa.cbslocal.com/,high,right-center
https://atlanta.cbslocal.com/,high,right-center
https://detroit.cbslocal.com/,high,right-center
https://news.yahoo.com/,high,right-center
https://yaleglobal.yale.edu,high,right-center
https://www.ydr.com/,high,right-center
